id,code,name,unit,cost,rate,price,WPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,1513250294887,ITEL IT5602,1,825,NULL,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,15132502948878,ITEL IT5603,1,825,850,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,15132502948906,LEPHONE K1,1,600,680,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,15132502948914,LEPHONE K10,1,840.9968,750.89,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,15132502948923,IKALL K26,1,952.2352,850.21,1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,15132502948932,IKALL K29,1,650,713.39,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,15132502948941,KARBONN K310n,1,683,609.82,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,1513250294895,IKALL K3310,1,611.128,545.65,999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,15132502948958,IKALL K3311,1,649,NULL,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,15132502948968,IKALL K35,1,809.9952,723.21,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,15132502948977,KARBONN K490PLUS,1,1176,1050,1350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,15132502948985,IKALL K6303,1,798.9968,713.39,950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,15132502948995,LENOVO 4GB K6POWER,1,10699.0016,9552.68,11799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,15132502949004,LENOVO 3GB K6POWER3GB,1,9698.9984,8659.82,10499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,15132502949013,LEPHONE K7,1,911,NULL,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
